id,brand_name,japanese_brand_name
568,Cerruti , セルッティ
569,CERTINA ,?サーチナ
570,C'est ChiC'a , セシカ
571,CHA CHA'S HOUSE OF ILL REPUTE , チャチャズ・ハウス・オブ・イル・リピュート
572,Chaika（чайка） ,?チャイカ
573,Champion , チャンピオン
574,CHANEL ,?シャネル
575,CHANGES , チェンジズ
576,CHAPTER SELECT , チャプターセレクト
577,Charles Anastase , シャルル・アナスタス
578,Charles Garnier , シャルル・ガルニエ
579,Charles Jourdan ,?シャルル・ジョルダン
580,Charlotte Olympia , シャルロット　オリンピア
581,CHARMCULT , チャームカルト
582,Charmer , シャルメ
583,CHAT CHAT , チャットチャット
584,CHAUMET , ショーメ
585,CHEANEY , チーニー
586,CHEAP MONDAY , チープマンデー
587,cheez , チーズ
588,Chelom , シェロム
589,CHELSEAGARB , チェルシーガーヴ
590,Cher , シェル
591,CHERIE , シェリー
592,CHIC MANN , チックマン
593,CHIE MIHARA , チエミハラ
594,CHIL DERIC , キルデリク
595,CHILDHOOD , チャイルドフッド
596,CHIP AND PEPPER , チップアンドペッパー
597,CHIPPEWA , チペワ
598,CHIYUKI , チユキ
599,Chlo? ,?クロエ
600,CHOCOHOLIC , チョコホリック
601,Chocolate (Argentina) , チョコラテ（チョコラテ アルヘンティナ）
602,Chopard ,?ショパール
603,Chrissie Morris , クリッシーモリス
604,Christian Dior ,?クリスチャン・ディオール
605,Christian Lacroix ,?クリスチャン・ラクロワ
606,Christian Louboutin , クリスチャン・ルブタン
607,CHRISTIAN PEAU , クリスチャン・ポー
608,christian roth , クリスチャン・ロス
609,CHRISTINA ROHDE , クリスティーナ・ローデ
610,CHRISTOPHE LEMAIRE , クリストフ・ルメール
611,Christpher Stivo , クリストファー・スティーボ
612,CHROME HEARTS ,?クロムハーツ
613,CHRONICLES OF NEVER , クロニクルズ・オブ・ネバー
614,CHRONOSWISS ,?クロノスイス
615,Chums , チャムス
616,Church's ,?チャーチ
617,Ciaopanic , チャオパニック
618,CIBONE , シボネ
619,CICATA , シカタ
620,Cimarron , シマロン
621,CIMIER ,?シミエール
622,ciname. , チナム
623,CIPHER , サイファー
624,CIRCA , サーカ
625,CIRCUM , サーカム
626,circus , サーカス
627,CITIZEN ,?シチズン
628,Citizens of Humanity , シティズンスオブヒューマニティ
629,CITY LAB , シティーラブ
630,ciu ciu , チュウチュ
631,CIXEUR , シクサー
632,CLAN , クラン
633,Clara B. , クララビー
634,Clarendon , クラレンドン
635,Clarks , クラークス
636,clasky , クラスキー
637,Classico , クラシコ
638,CLASSIC , クラシック
639,CLATHAS , クレイサス
640,Claude Montana , クロード・モンタナ
641,cledevers , クレデヴェール
642,clette , クレット
643,CLEMENTS RIBEIRO , クレメンツ・リベイロ
644,Clic Clac , クリクラ
645,CLIXION , クリクション
646,CLOAK , クローク
647,CLOCK CHANNEL , クロックチャンネル
648,Clone , クローン
649,CLUBKING , クラブキング
650,CLUCT , クラクト
651,CN , シーエヌ
652,COACH ,?コーチ
653,COALBLACK , コールブラック
654,Coco , ココ
655,COCOA'77, ココアセブンティセブン
656,COCOLULU , ココルル
657,Cocomma , ココマ
658,COCOSHNIK , ココシュニック
659,COCUE , コキュ
660,coeur , クール
661,coeur ripe , クールライプ
662,COGU , コグ
663,Coigirlmagic , コイガールマジック
664,COINONIA , コイノニア
665,cokitica , コキチカ
666,Coldwave , コールドウェーブ
667,collection PRIVEE? , コレクションプリヴェ
668,COLLECTORS CLUB , コレクターズクラブ
669,Columbia ,?コロンビア
670,COMME ?A DU MODE ,?コムサ・デ・モード
671,COMME ?A COLLECTION , コムサ・コレクション
672,COMME ?A DU MODE MEN , コムサ・デ・モード・メン
673,COMME ?A ISM , コムサイズム
674,COMME ?A MEN , コムサ・メン
675,COMME des GAR?ONS ,?コム・デ・ギャルソン
676,COMME des GAR?ONS COMME des GAR?ONS , コム・デ・ギャルソン・コム・デ・ギャルソン
677,COMME des GAR?ONS HOMME DEUX , コム・デ・ギャルソン・オム・ドゥ
678,COMME des GAR?ONS HOMME , コム・デ・ギャルソン・オム
679,COMME des GAR?ONS HOMME PLUS , コム・デ・ギャルソン・オム・プリュス
680,COMME des GAR?ONS noir , コム・デ・ギャルソン・ノワール
681,COMMON PROJECTS , コモンプロジェクト
682,COMMUNITY , コミュニティ
683,COMMUUN ,?コムーン
684,COMPLETEFINESSE , コンプリートフィネス
685,Complot , コンプロ
686,COMPOSITION FIVE , コンポジション・ファイブ
687,Comptoir des cotonniers , コントワー・デ・コトニエ
688,connect , コネクト
689,CONNECTERS , コネクターズ
690,CONQUEST , コンクエスト
691,CONVERSE ,?コンバース
692,COOKIE FORTUNE , クッキー・フォーチュン
693,COOTIE , クーティー
694,co-quina , コキナ
695,Coquin-Coquine , コカンコキーヌ
696,corazon del alma , コラゾン・デル・アルマ
697,CORDIER , コルディア
698,corefighter , コアファイター
699,CORE JEWELS?, コアジュエルス
700,CORGI , コーギ
701,COROMO by DECO SUGAI , コロモバイデコスガイ
702,CORTES WORKS , コルテスワークス
703,CORTHAY , コルテ
704,Corto Moltedo , コルトモルテド
705,CORUM ,?コルム
706,COS(Collection of Style) ,?コス
707,COSMIC WONDER , コズミックワンダー
708,COSMIC WONDER Light Source , コズミックワンダーライトソース
709,CoSTUME NATIONAL ,?コスチューム・ナショナル
710,COTOO , コトゥー
711,Counter Culture , カウンターカルチャー
712,COUP DE CHANCE , クード シャンス
713,coupole , クーポール
714,courreg?s ,?クレージュ
715,COZ JEANS , コズ・ジーンズ
716,C.P. Company , シーピーカンパニー
717,C-PLUS HEAD WEAR , シープラスヘッドウェアー
718,CRATE DENIM , クレートデニム
